ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGATETYPE,TARGET TYPE 2,TARGET TYPE 3,REGION,TYPE,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4,,chinese,Information,longitude,latitude
62,2009/6/8,China,Mong Kok,未知,0,,,,,0,24,Private Citizens & Property,,,East Asia,徒手袭击,,,Chemical,,,,,香港旺角,,114.3,22.5
63,2009/5/16,China,Mong Kok,未知,0,,,,,0,30,Private Citizens & Property,,,East Asia,徒手袭击,,,Chemical,,,,,香港旺角,,114.3,22.5
64,2009/4/1,China,Urumqi,未知,0,,,,,1,2,Business,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,乌鲁木齐,,87.55,43.65
65,2009/3/19,China,Chongqing,Tibetan separatists,1,,,,,1,0,Military,,,East Asia,武装袭击,,,Firearms,,,,,重庆,3·19重庆枪杀哨兵案,106.54,29.59
66,2009/3/16,China,Ganzi,未知,0,,,,,0,0,Police,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,四川甘孜,,99.96,31.64
67,2008/9/1,China,Chenxi,未知,0,,,,,1,5,Private Citizens & Property,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,湖南怀化辰溪县,2008年9月1日辰溪刘晓公园爆炸,110.18,28.02
68,2008/8/30,China,Harbin,未知,0,,,,,0,2,Transportation,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,哈尔滨,,126.63,45.75
69,2008/8/27,China,Kizilboyi,未知,0,,,,,2,5,Police,,,East Asia,武装袭击,,,Melee,,,,,喀什伽师县,8.27克孜勒博依乡袭警案,76.78,39.46
70,2008/8/17,China,Beijing,未知,0,,,,,0,20,Police,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,北京,,116.65,40
71,2008/8/15,China,Jiading,未知,0,,,,,0,0,Business,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,上海嘉定,,121.24,31.4
72,2008/8/13,China,Qinhuangdao,未知,0,,,,,2,0,Business,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,河北秦皇岛,,119.57,39.95
73,2008/8/12,China,Yamanya,Eastern Turkistan Islamic Movement (ETIM),0,,,,,3,1,Police,,,East Asia,武装袭击,,,Melee,,,,,新疆喀什,,75.97,39.4
74,2008/8/10,China,Kuqa,Eastern Turkistan Islamic Movement (ETIM),0,,,,,3,2,Government (General),,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,新疆库车,8.10库车连环爆炸案,82.97,41.68
75,2008/8/9,China,Laoximen,未知,0,,,,,0,0,Police,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,上海,,121.48,31.22
76,2008/8/9,China,Beijing,未知,0,,,,,2,1,Private Citizens & Property,,,East Asia,武装袭击,,,Melee,,,,,北京,,116,39
77,2008/8/4,China,Kashgar,Eastern Turkistan Islamic Movement (ETIM),0,,,,,16,17,Police,,,East Asia,武装袭击,,,Explosives/Bombs/Dynamite,Melee,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs),喀什,新疆喀什八·四恶性袭警案,75.91,39.4
78,2008/8/4,China,Qinhuangdao,未知,0,,,,,0,0,Government (General),,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,河北秦皇岛,,119.52,39.95
79,2008/7/21,China,Kunming,Turkestan Islamic Party,0,,,,,2,7,Transportation,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,云南昆明,7.21昆明公交爆炸事件（其一）,102.6,25.3
80,2008/7/21,China,Minshan,Turkestan Islamic Party,0,,,,,1,7,Transportation,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,云南昆明岷山,7.22昆明公交爆炸事件（其二）,102.48,25.21
81,2008/6/11,China,Yiwu,未知,0,,,,,1,35,Private Citizens & Property,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,浙江义乌,,120.06,29.32
82,2008/5/5,China,Shanghai,Eastern Turkistan Islamic Movement (ETIM),1,,,,,3,12,Transportation,,,East Asia,针对设施的攻击,,,Incendiary,,,,,上海,5.5上海842路公交自燃事件,121.48,31.41
83,2008/4/8,China,Gartok,未知,0,,,,,0,0,未知,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,西藏噶尔县,,80,32.08
84,2008/4/5,China,Gartok,未知,0,,,,,0,0,未知,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,西藏噶尔县,,80,32.08
85,2008/3/14,,Lhasa,未知,,,,,,18,382,,,,,武装袭击,,,,,,,,西藏拉萨,3·14拉萨打砸抢烧暴力犯罪事件,91.5,30.2
86,2008/3/13,China,Qinzhou,未知,0,,,,,2,36,Business,Business,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,广西钦州,3.13广西钦州“新夜色”酒吧爆炸案,108.61,21.96
87,2008/3/5,China,Xian,未知,0,,,,,1,0,Tourists,Private Citizens & Property,,East Asia,劫持,,,Explosives/Bombs/Dynamite,,,,,西安,3.5西安劫持公交人质事件,108.9,34.2
88,2005/1/20,China,Between Usu City and Karamay City,Uighur Separatists,0,,,,,12,2,Transportation,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,新疆乌苏,,84.62,44.45
89,2004/7/17,China,Shenzen,未知,0,,,,,2,2,Business,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,广东深圳,,114.07,22.62
90,2004/1/23,China,Zhengzhou,未知,0,,,,,2,3,Transportation,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,河南郑州,,113.65,34.76
91,2003/2/25,China,Beijing,未知,0,,,,,0,3,Educational Institution,Educational Institution,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,北京,,116.43,39.98
92,2003/2/25,China,Beijing,未知,0,,,,,0,6,Educational Institution,Educational Institution,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,北京,,116.46,40
93,2003/1/15,China,Yulin,未知,0,,,,,1,7,Business,Private Citizens & Property,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,广西玉林,,110.14,22.64
94,2002/10/2,China,Guilin,未知,0,,,,,1,18,Private Citizens & Property,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,广西桂林,,110.28,25.29
95,2002/5/11,China,Xiamen,未知,0,,,,,0,0,Airports and Aircraft,,,East Asia,劫持,,,Melee,,,,,福建厦门,,118.1,24.46
96,2001/12/28,China,Zhongxiang,未知,0,,,,,2,1,Private Citizens & Property,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,湖北钟祥,,112.58,31.17
97,2001/12/24,China,Qingdao,未知,0,,,,,0,0,Business,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,山东青岛,,120.33,36.07
98,2001/12/14,China,Xian,未知,0,,,,,2,27,Business,Private Citizens & Property,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,陕西西安,,108.95,34.27
99,2001/12/14,China,Jiangmeng,未知,0,,,,,0,1,Private Citizens & Property,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,广东江门,12.14江门、湛江连环爆炸案,113.06,22.61
100,2001/12/14,China,Zhanjiang,未知,0,,,,,2,4,Private Citizens & Property,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,广东湛江,12.14江门、湛江连环爆炸案,110.17,20.34
101,2001/10/14,China,Hotan City,未知,0,,,,,0,0,Government (General),,,East Asia,针对设施的攻击,炸弹袭击/爆炸,,Incendiary,Explosives/Bombs/Dynamite,,,,新疆和田,,79.8,37.14
102,2001/7/9,China,Wuhan,未知,0,,,,,0,0,Business,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,湖北武汉,,114.34,30.45
103,2001/2/4,China,Kunming,未知,0,,,,,0,0,Business,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,云南昆明,,112.48,25.21
104,2000/11/26,China,Wuhan,未知,0,,,,,0,1,Business,Private Citizens & Property,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,湖北武汉,,114.31,30.52
105,2000/10/26,China,Lhasa,未知,0,,,,,0,0,未知,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,西藏拉萨,,91.11,29.97
106,2000/9/27,China,Baotou,未知,0,,,,,0,1,Airports and Aircraft,Private Citizens & Property,,East Asia,劫持,,,Melee,,,,,内蒙古包头,,110,40.58
107,2000/2/15,China,Beijing,未知,0,,,,,1,/,Private Citizens & Property,Private Citizens & Property,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,北京,,116.67,39.92
